codigo,easy_nome,easy_especialidade,easy_simbolo,easy_preco,easy_forma_cobranca,easy_observacoes,easy_status,brana_nome,brana_especialidade,brana_simbolo,brana_preco,brana_forma_cobranca,brana_observacoes,brana_status,classificacao,divergencias,acao_futura_sugerida,motivo,nivel_seguranca
33,Reconstrução total do lábio traumatizado,6,45,770.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
34,Suturas múltiplas da face ou lábio,6,45,605.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
35,Suturas simples da face ou lábio,6,45,315.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
36,Tratamento de alveolite,6,57,250.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
37,Tratamento de hemorragia,6,45,315.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
38,Tratamento cirúrgico do lábio leporino,6,45,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
39,Adequação de meio bucal,1,28,250.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
40,Ajuste oclusal - (por sessão),1,32,100.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
41,Capeamento pulpar,1,53,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
42,Clareamento - (Caseiro),12,31,400.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
43,Clareamento - (Laser),12,31,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
44,Clareamento interno - (dentes desvitalizados),12,31,1000.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
45,Dessensibilização dentária - (por elemento),1,58,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
46,Faceta em resina direta - (Dentes anteriores),1,39,750.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
47,Imobilização dentária com resina fotopolimerizável,1,58,450.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
48,Imobilização dentária (esplintagem),1,57,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
49,Núcleo de preenchimento,1,14,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
50,Núcleo de preenchimento em ionômetro de vidro,1,14,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
51,Núcleo de preenchimento em resina,1,14,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
52,Núcleo fibra de vidro,1,14,450.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
53,Núcleo metálico pré-fabricado,1,14,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
54,Núcleo rosqueavel - (Roach),1,14,450.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
55,Polimento e Acabamento,1,59,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
56,Reconstrução em Resina Direta - (+ de 3 Faces),1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
57,Restauração de Amálgama - 1 face,1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
58,Restauração de Amálgama - 2 faces,1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
59,Restauração de Amálgama - 3 faces,1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
60,"

Restauração de ionômero de vidro - classe V",1,4,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
61,Restauração em Resina Direta - (1 Face),1,4,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
62,Restauração em Resina Direta - (2 Faces),1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
63,Restauração em Resina Direta - (3 Faces),1,4,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
64,Restauração em Resina Direta - (Classe IV),1,4,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
65,Restauração em Resina Direta - (Classe V),1,4,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
66,Restauração temporária (IRM ou similar),1,4,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
67,Tratamento Expectante com H. Cálcio,1,57,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
68,Apicectomia em Incisivos com enxerto leofilizado,3,15,1500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
69,Apicectomia em Incisivos com obturação retrógrada,3,15,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
70,Apicectomia em Incisivos curetagem apical,3,15,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
71,Apicectomia em Molares com enxerto leofilizado,3,15,2000.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
72,Apicectomia em Molares com obturação retrógrada,3,15,2300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
73,Apicectomia em Molares curetagem apical,3,15,1500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
74,Apicectomia em Pré-molares com enxerto leofilizado,3,15,1500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
75,Apicectomia em Pré-molares com obturação retrógrada,3,15,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
76,Apicectomia em Pré-molares curetagem apical,3,15,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
77,Clareamento Interno,12,31,1000.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
78,Desobturação de canal,3,57,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
79,Preparo para Núcleo intra-radicular,3,57,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
80,Pulpotomia,3,48,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
81,Reimplante dentes avuls. trauma + ap. contenção,3,9,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
82,Remoção de Coroal Total,3,57,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
83,Remoção de núcleo intraradicular,3,57,500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
84,Retratamento de Canal - (Incisivos),3,12,650.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
85,Retratamento de Canal - (Molares com 4 ou mais condutos),3,12,1500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
86,Retratamento de Canal - (Molares),3,12,1500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
87,Retratamento de Canal - (Pré-molares),3,12,900.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
88,Tratamento cirurgico de lesão endo-perio - (Curetagem),3,45,315.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
89,Tratamento cirurgico de lesão endo-perio com enxerto leofilizado,3,25,627.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
90,Tratamento de Canal - (Incisivos),3,12,500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
91,Tratamento de Canal - (Molares com mais de 3 condutos),3,12,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
92,Tratamento de Canal - (Molares),3,12,1000.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
93,Tratamento de Canal - (Pré-molares),3,12,700.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
94,Tratamento de dentes c/ rizogenese incompleta - (Por sessão),3,57,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
95,Tratamento de Trepanações / Perfurações,3,12,1000.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
96,Cimentação de Coroa Total Definitiva,5,1,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
97,Cimentação de Coroa Total Provisória,5,30,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
98,Cimentação de Núcleo Metálico Fundido,5,14,150.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
99,Cimentação de Prótese Parcial Fixa,5,7,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
100,Consulta de adaptação Psicológica,5,10,110.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
101,Consulta de Emergência,5,40,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
102,"Consulta de Emergência - (Sábado, Domingo e Feriado)",5,40,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
103,Consulta de Emergência Noturna - (22:00 às 06:00 hs),5,40,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
104,Consulta Inicial para Exame clínico,5,10,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
105,Curativo,5,57,100.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
106,Exame para Perícia Inicial e Final,5,54,150.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
107,Modelo de Estudo - (Superior e Infeiror),5,41,110.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
108,Radiografia Bite-Wing - (inter-proximal),5,11,35.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
109,Radiografia Oclusal,5,35,150.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
110,Radiografia Periapical,5,11,35.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
111,Enxerto Osseo Particulado + Membrana colageno.,13,25,1500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
112,Implante - (técnica de Sammers),13,9,1540.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
113,Implante (RTG),13,9,1980.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
114,Implante ósseo integrável - Cone Morse,13,9,1760.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
115,Implante ósseo integrável - H. Interno,13,9,1540.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
116,Implante ósseo integrável - Standard,13,9,1210.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
117,Remoção de implante,13,9,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
118,Abertura de implante - (Giro de retalho),4,17,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
119,Abertura de implante - (Osteotomia),4,45,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
120,Abertura de implante - (Plastia),4,17,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
121,Abertura de implante mand. - (Enxerto Livre),4,25,500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
122,Abertura de implante mand. - (Osteotomia e Livre),4,45,627.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
123,Aumento de Coroa Clínica - (Osteotomia e deslize apical),4,49,450.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
124,Aumento de Coroa Clínica - (Osteotomia),4,49,315.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
125,Aumento de Coroa Clínica - (Plastia),4,49,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
126,Bridectomia,4,26,380.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
127,Cirurgia para colagem de botão Ortodôntico,4,45,600.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
128,Cirurgia para colagem de botão Ortodôntico com osteotomia,4,45,600.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
129,Cirurgia para Odonto-secção - (por elemento),4,46,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
130,Cirurgia para Rizectomia,4,47,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
131,Enxerto de conjuntivo / tunelização,4,25,1500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
132,Cirurgia Periodontal a retalho - (1 elemento),4,17,500.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
133,Cirurgia Periodontal a retalho - (por segmento),4,17,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
134,Cunha Distal ou Proximal,4,57,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
135,Enxerto de Tecido Conjuntivo,4,25,1500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
136,Enxerto Gengival Livre,4,25,1500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
137,Enxerto Osseo RTG - (Regeneração Tecidual Guiada),4,25,880.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
138,Enxerto Pediculado - (por elemento),4,25,350.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
139,Enxerto por Tracionamento de Vestibulo - (por elemento),4,25,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
140,Enxerto por Tracionamento de Vestibulo - (por segmento),4,25,450.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
141,Frenectomia labial inferior,4,26,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
142,Frenectomia labial superior,4,26,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
143,Frenotomia Lábial Inferior,4,26,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
144,Frenotomia Lábial Superior,4,26,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
145,Frenotomia Lingual,4,26,750.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
146,Gengivectomia ou Gengivoplastia - (por elemento),4,16,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
147,Gengivectomia ou Gengivoplastia - (por segmento),4,16,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
148,Gengivectomia palatina / lingual - (por elemento),4,16,300.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
149,Gengivectomia palatina / lingual - (por segmento),4,16,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
150,Manutenção Periodontal - (por sessão),4,58,110.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
151,Raspagem Sub-gengival e Curetagem de bolsa - (por segmento),4,18,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
152,Raspagem Supra-gengival - (por segmento),4,18,500.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
153,Remoção de Fatores de Retenção - (por segmento),4,58,150.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
154,Sepultamento Radicular - (por raiz),4,57,450.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
155,Ulectomia,4,51,250.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
156,Aplicação de Cariostático - (sessão),8,28,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
157,Aplicação de Flúor Verniz - (por elemento),8,20,200.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
158,Aplicação de Selnate Oclusa Invasivo - (por elemento),8,3,200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
159,Aplicação Tópica de Flúor,8,20,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
160,Controle da Placa Bacteriana - (por sessão),8,55,250.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
161,Instrução de Higiene Oral - (I.H.O.),8,28,250.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
162,Profilaxia - (Polimento com taça de borracha),8,8,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
163,Profilaxia - (Ultrason e Jato de Bicarbonato),8,8,350.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
164,Teste de fluxo salivar,8,28,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
165,Teste de Risco de Cárie,8,28,0.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
166,Attachment,2,52,1200.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
167,Casquete de moldagem,2,56,50.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
168,Conserto de Prótese Total e Parcial,2,56,330.0,2,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
169,Coroa em Resina Prensada,2,1,250.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
170,Coroa em Resina Sinfony,2,1,650.0,1,,False,,,,,,,,D,['somente_easy'],avaliar inclusao no Brana,nao existe correspondencia no Brana,baixo
